               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.8906,              6.2692,              2.0073,          0.00041667,            0.076923,          0.00074055,          0.00029622,              2.6691,              5.9638,              2.0701,              0.0937,              0.0007,              0.0007
                   1,              2.8953,              5.9239,              1.9578,          0.00041667,            0.076923,          0.00026379,          0.00010552,              2.7105,              5.0467,              1.9695,             0.08647,           0.0014703,           0.0014703
                   2,              2.8469,              4.4154,              1.9598,          0.00083333,             0.15385,           0.0006405,          0.00012193,              3.3612,              4.8717,              2.3135,            0.079209,           0.0022089,           0.0022089
                   3,              2.6004,              3.6538,              1.8248,             0.47374,            0.076923,            0.094241,            0.020303,              3.1385,              4.0154,              2.0648,            0.071916,           0.0029159,           0.0029159
                   4,              2.5787,              2.8254,              1.7213,             0.54688,             0.23077,             0.21607,             0.11586,              2.5568,              3.5213,               1.972,            0.064591,           0.0035911,           0.0035911
                   5,              2.5574,               3.185,              1.6751,                   0,                   0,                   0,                   0,              2.7065,              4.6006,              2.0097,            0.057235,           0.0042347,           0.0042347
                   6,              2.4089,              2.7893,              1.6545,             0.55715,             0.15385,             0.15588,            0.077748,              2.6172,              3.6034,              2.0024,            0.049847,           0.0048466,           0.0048466
                   7,              2.3853,              2.7155,              1.6695,             0.33054,             0.15385,             0.10011,            0.053039,              2.4437,              3.5928,              1.7552,            0.042427,           0.0054268,           0.0054268
                   8,              2.2579,              2.4902,               1.533,            0.074843,             0.15385,             0.03863,            0.014615,              2.8597,              3.9455,              1.9247,            0.034975,           0.0059754,           0.0059754
                   9,              2.3805,              2.8148,              1.5342,             0.17379,             0.23077,            0.081733,            0.022493,              2.6758,              3.3866,              1.9392,            0.027492,           0.0064922,           0.0064922
